"N","T","alternative","method","rejection","lower","upper"
20,50,FALSE,"CDw",0.044,0.0277767672855717,0.0658610003235949
20,50,FALSE,"CDw_plus",0.05,0.0326151801493301,0.0729276216504789
20,50,TRUE,"CDw",0.528,0.483187548860645,0.572479551633811
20,50,TRUE,"CDw_plus",1,0.992649389948092,1
20,100,FALSE,"CDw",0.044,0.0277767672855717,0.0658610003235949
20,100,FALSE,"CDw_plus",0.048,0.0309931687935054,0.0705807962573298
20,100,TRUE,"CDw",0.744,0.703372989731278,0.78171412946889
20,100,TRUE,"CDw_plus",1,0.992649389948092,1
50,50,FALSE,"CDw",0.04,0.0246013120855454,0.0611026093882446
50,50,FALSE,"CDw_plus",0.044,0.0277767672855717,0.0658610003235949
50,50,TRUE,"CDw",0.476,0.43147850297002,0.520806836062445
50,50,TRUE,"CDw_plus",1,0.992649389948092,1
50,100,FALSE,"CDw",0.046,0.0293801753924028,0.0682254278812379
50,100,FALSE,"CDw_plus",0.046,0.0293801753924028,0.0682254278812379
50,100,TRUE,"CDw",0.712,0.670134856869257,0.751337252748153
50,100,TRUE,"CDw_plus",1,0.992649389948092,1
